         2.01000000        0.02166938   -15543.15449391        0.66459980
         1.96000000        0.02185710   -16752.31465867        0.66475264
         1.91000000        0.02217737   -17703.23658207        0.66484095
         1.86000000        0.02252159   -18655.73569061        0.66488097
         1.81000000        0.02274532   -20145.39626378        0.66498500
         1.76000000        0.02337222   -20378.83451754        0.66508898
         1.71000000        0.02366309   -21921.79233505        0.66518120
         1.66000000        0.02425726   -22788.55204124        0.66527295
         1.61000000        0.02479467   -23748.31958452        0.66536017
         1.56000000        0.02525342   -25557.57036473        0.66540992
         1.51000000        0.02610488   -25919.43814202        0.66550450
         1.46000000        0.02657334   -27912.98830648        0.66558432
         1.41000000        0.02759275   -28096.48919711        0.66565620
         1.36000000        0.02842018   -29466.86376207        0.66572194
         1.31000000        0.02957311   -29786.36765652        0.66579291
         1.26000000        0.03086418   -30124.19464815        0.66585686
         1.21000000        0.03237245   -29860.48559484        0.66591279
         1.16000000        0.03424181   -29149.30021157        0.66596250
         1.11000000        0.03636440   -28138.54388401        0.66602537
         1.06000000        0.03953494   -25083.79544874        0.66608424
         1.01000000        0.04230193   -23980.25873481        0.66614270
         0.96000000        0.04736220   -19597.27770719        0.66619900
         0.91000000        0.05290496   -16283.99516639        0.66624130
         0.86000000        0.06022234   -12618.98889620        0.66629781
         0.81000000        0.07360353    -7673.12776148        0.66634499
         0.76000000        0.09693399    -3352.58847625        0.66640425
         0.71000000        0.12810921    -1477.41600984        0.66645583
         0.66000000        0.21652653     -267.00276049        0.66650733
         0.61000000        0.34753675      -58.15006566        0.66655412
         0.56000000        0.47708797      -21.21716582        0.66659060
         0.51000000        0.55313209      -14.20830212        0.66661481
         0.46000000        0.60234222      -11.86736047        0.66662894
         0.41000000        0.66379796       -9.24662592        0.66664008
         0.36000000        0.71563720       -7.78906035        0.66664825
         0.31000000        0.75743914       -7.03757162        0.66665467
         0.26000000        0.80447273       -6.19399284        0.66665854
         0.21000000        0.83767839       -5.91434339        0.66666177
         0.16000000        0.88392499       -5.27187654        0.66666414
         0.11000000        0.92026908       -4.96939147        0.66666552
         0.06000000        0.95483038       -4.73147956        0.66666634
         0.01000000        0.99162215       -4.45990716        0.66666666
